Dictionary for log(g) = 0.0
16000.0  2.5  0.990  1.174  0.667
17000.0  2.5  0.993  1.177  0.668
18000.0  2.5  0.996  1.181  0.669
19000.0  2.5  0.998  1.186  0.670

Dictionary for log(g) = 3.0
3500.0  3.0  0.667  0.996  0.580
3750.0  3.0  0.709  0.987  0.600
4000.0  3.0  0.742  0.989  0.617
4250.0  3.0  0.764  0.998  0.626
4500.0  3.0  0.781  1.008  0.631
4750.0  3.0  0.795  1.017  0.635
5000.0  3.0  0.807  1.028  0.637
5250.0  3.0  0.820  1.038  0.640
5500.0  3.0  0.831  1.048  0.642
5750.0  3.0  0.844  1.057  0.643
6000.0  3.0  0.855  1.066  0.645
6250.0  3.0  0.867  1.075  0.646
6500.0  3.0  0.877  1.082  0.649
6750.0  3.0  0.888  1.087  0.650
7000.0  3.0  0.897  1.094  0.652
7250.0  3.0  0.907  1.099  0.653
7500.0  3.0  0.917  1.105  0.653
7750.0  3.0  0.926  1.110  0.655
8000.0  3.0  0.934  1.115  0.656
8250.0  3.0  0.941  1.120  0.657
8500.0  3.0  0.946  1.124  0.657
8750.0  3.0  0.951  1.127  0.658
9000.0  3.0  0.955  1.130  0.659
9250.0  3.0  0.958  1.133  0.659
9500.0  3.0  0.961  1.135  0.659
9750.0  3.0  0.963  1.137  0.660
10000.0  3.0  0.966  1.139  0.660
10250.0  3.0  0.967  1.141  0.661
10500.0  3.0  0.969  1.143  0.662
10750.0  3.0  0.970  1.144  0.662
11000.0  3.0  0.971  1.146  0.663
11250.0  3.0  0.973  1.148  0.663
11500.0  3.0  0.974  1.149  0.664
11750.0  3.0  0.975  1.151  0.664
12000.0  3.0  0.976  1.153  0.664
12250.0  3.0  0.977  1.154  0.665
12500.0  3.0  0.979  1.155  0.665
12750.0  3.0  0.980  1.157  0.665
13000.0  3.0  0.980  1.158  0.665
14000.0  3.0  0.985  1.164  0.666
15000.0  3.0  0.988  1.168  0.667
16000.0  3.0  0.992  1.173  0.668
17000.0  3.0  0.995  1.176  0.669
18000.0  3.0  0.997  1.180  0.669
19000.0  3.0  1.001  1.183  0.669
20000.0  3.0  1.003  1.187  0.670
21000.0  3.0  1.005  1.189  0.671
22000.0  3.0  1.006  1.193  0.671
23000.0  3.0  1.009  1.196  0.671
24000.0  3.0  1.011  1.198  0.671
25000.0  3.0  1.011  1.200  0.672
26000.0  3.0  1.013  1.202  0.673

Dictionary for log(g) = 3.5
3500.0  3.5  0.671  0.998  0.581
3750.0  3.5  0.709  0.990  0.600
4000.0  3.5  0.740  0.991  0.616
4250.0  3.5  0.764  0.999  0.625
4500.0  3.5  0.780  1.010  0.630
4750.0  3.5  0.795  1.019  0.634
5000.0  3.5  0.808  1.028  0.636
5250.0  3.5  0.820  1.038  0.639
5500.0  3.5  0.831  1.048  0.641
5750.0  3.5  0.843  1.058  0.643
6000.0  3.5  0.854  1.067  0.645
6250.0  3.5  0.865  1.075  0.646
6500.0  3.5  0.876  1.082  0.648
6750.0  3.5  0.885  1.087  0.650
7000.0  3.5  0.895  1.093  0.651
7250.0  3.5  0.903  1.098  0.653
7500.0  3.5  0.913  1.103  0.654
7750.0  3.5  0.921  1.108  0.655
8000.0  3.5  0.930  1.113  0.656
8250.0  3.5  0.937  1.118  0.657
8500.0  3.5  0.944  1.121  0.658
8750.0  3.5  0.948  1.125  0.658
9000.0  3.5  0.953  1.128  0.659
9250.0  3.5  0.956  1.131  0.660
9500.0  3.5  0.960  1.134  0.660
9750.0  3.5  0.963  1.136  0.661
10000.0  3.5  0.964  1.138  0.661
10250.0  3.5  0.967  1.140  0.661
10500.0  3.5  0.969  1.142  0.662
10750.0  3.5  0.970  1.144  0.662
11000.0  3.5  0.971  1.145  0.662
11250.0  3.5  0.973  1.147  0.663
11500.0  3.5  0.974  1.149  0.664
11750.0  3.5  0.975  1.151  0.664
12000.0  3.5  0.976  1.152  0.664
12250.0  3.5  0.977  1.153  0.664
12500.0  3.5  0.978  1.154  0.664
12750.0  3.5  0.980  1.156  0.665
