RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.060058594  -36.717563629     0.2852     0.0945    -4.1830     0.1270     4.5070     0.1450    17.5885     0.0011    18.0336     0.0143    17.0039     0.0088
139.117736816  -36.676174164     0.2994     0.0794    -4.3820     0.1020     4.5620     0.1230    17.2658     0.0008    17.6707     0.0072    16.7108     0.0060
139.064071655  -36.718803406     0.2843     0.0444    -4.3610     0.0600     4.5690     0.0690    16.1780     0.0005    16.4852     0.0042    15.7075     0.0032
139.005569458  -36.732646942     0.2605     0.0321    -4.5780     0.0400     4.6170     0.0460    12.7915     0.0002    13.3047     0.0008    12.1292     0.0008
139.080474854  -36.714733124     0.2942     0.0340    -4.3880     0.0450     4.4840     0.0510    15.5430     0.0004    15.7904     0.0025    15.1394     0.0012
139.111236572  -36.693531036     0.2698     0.0342    -4.2930     0.0460     4.4730     0.0550    15.6204     0.0004    15.8947     0.0026    15.1837     0.0020
139.036178589  -36.734455109     0.3612     0.1059    -4.2570     0.1400     4.7500     0.1640    17.6942     0.0012    18.2197     0.0160    17.0567     0.0095
139.140274048  -36.598011017     0.3568     0.0605    -4.3170     0.0800     4.3440     0.0920    16.6989     0.0007    17.0554     0.0059    16.1813     0.0041
138.907135010  -36.548740387     0.2617     0.0187    -4.4310     0.0260     4.4030     0.0290    14.1408     0.0002    14.3149     0.0017    13.8405     0.0008
139.094543457  -36.540142059     0.3128     0.0346    -4.5660     0.0480     4.4830     0.0570    15.7268     0.0005    16.0110     0.0027    15.2821     0.0016
139.001266479  -36.514545441     0.2173     0.0274    -4.4370     0.0370     4.6440     0.0450    14.9520     0.0003    15.1558     0.0023    14.5982     0.0022
139.128799438  -36.572353363     0.2591     0.0254    -4.4250     0.0340     4.5810     0.0450    12.0968     0.0002    12.8275     0.0010    11.2853     0.0009
139.145370483  -36.610614777     0.2954     0.0467    -4.5010     0.0610     4.5450     0.0720    16.2591     0.0005    16.5867     0.0042    15.7786     0.0029
139.101318359  -36.543804169     0.2686     0.0494    -4.3990     0.0690     4.3890     0.0950    16.3135     0.0006    16.6326     0.0045    15.8370     0.0035
138.873245239  -36.589260101     0.2871     0.0178    -4.4050     0.0240     4.6120     0.0300    13.7537     0.0002    13.9685     0.0010    13.4045     0.0011
139.121566772  -36.561588287     0.2961     0.0890    -4.4580     0.1200     4.5790     0.1430    17.5055     0.0009    17.9205     0.0079    16.9205     0.0058
139.144302368  -36.651504517     0.1944     0.0369    -4.3590     0.0480     4.4990     0.0590    15.7594     0.0005    16.0232     0.0025    15.3397     0.0023
138.976089478  -36.513935089     0.2784     0.0171    -4.4220     0.0230     4.5740     0.0280    13.0341     0.0003    13.5991     0.0010    12.3355     0.0007
139.065994263  -36.520988464     0.2740     0.0343    -4.3660     0.0470     4.4330     0.0550    15.6128     0.0006    15.8815     0.0031    15.1771     0.0018
139.040390015  -36.513076782     0.3143     0.0419    -4.4350     0.0580     4.5630     0.0670    15.9498     0.0005    16.2409     0.0036    15.4940     0.0031
138.922073364  -36.527114868     0.2828     0.1026    -4.4280     0.1430     4.7070     0.1540    17.5921     0.0010    18.0058     0.0104    17.0291     0.0048
139.150604248  -36.661441803     0.2955     0.0737    -4.2730     0.0970     4.5220     0.1300    16.9660     0.0007    17.3489     0.0053    16.4372     0.0054
138.878005981  -36.563106537     0.2425     0.0600    -4.5070     0.0840     4.5250     0.1000    16.7419     0.0007    17.1242     0.0069    16.2058     0.0038
139.104309082  -36.534217834     0.2731     0.0393    -4.4820     0.0530     4.5400     0.0650    15.9242     0.0007    16.2063     0.0023    15.4838     0.0022
139.140609741  -36.684574127     0.2475     0.0238    -4.4370     0.0310     4.4680     0.0410    14.5274     0.0003    14.7274     0.0016    14.1828     0.0016
139.043746948  -36.506778717     0.2325     0.0224    -4.4590     0.0300     4.4670     0.0380    14.4453     0.0003    14.6605     0.0012    14.0829     0.0011
138.939193726  -36.514968872     0.2291     0.0790    -4.5850     0.1110     4.5710     0.1200    17.2999     0.0010    17.6876     0.0092    16.7498     0.0078
139.107223511  -36.531391144     0.3409     0.0307    -4.5660     0.0410     4.5260     0.0500    15.3450     0.0004    15.5792     0.0022    14.9638     0.0018
138.950546265  -36.745883942     0.2181     0.0706    -4.3110     0.0940     4.4600     0.1030    16.7864     0.0007    17.1515     0.0062    16.2651     0.0037
139.163940430  -36.597705841     0.3015     0.0339    -4.4430     0.0450     4.5850     0.0570    15.5939     0.0004    15.8497     0.0030    15.1887     0.0018
139.135650635  -36.708480835     0.3042     0.0296    -4.2940     0.0360     4.5520     0.0440    14.8558     0.0003    15.0511     0.0011    14.5179     0.0013
138.841629028  -36.630352020     0.2468     0.0288    -4.2230     0.0360     4.5840     0.0440    14.9376     0.0003    15.1326     0.0019    14.6009     0.0016
139.170883179  -36.626014709     0.3338     0.0453    -4.4230     0.0620     4.5220     0.0690    16.1003     0.0005    16.4154     0.0038    15.6250     0.0021
139.079818726  -36.508762360     0.2643     0.0648    -4.2950     0.0880     4.3950     0.1020    16.8303     0.0007    17.1852     0.0072    16.2988     0.0080
138.895858765  -36.528537750     0.2650     0.1117    -4.3110     0.1580     4.2860     0.1850    18.0120     0.0012    18.4950     0.0158    17.3924     0.0108
139.165924072  -36.662960052     0.2866     0.0481    -4.4150     0.0670     4.6400     0.0830    16.3049     0.0005    16.6360     0.0052    15.7722     0.0065
139.044387817  -36.757354736     0.2103     0.0424    -4.6070     0.0580     4.3870     0.0640    15.9697     0.0006    16.2123     0.0058    15.4048     0.0058
138.866531372  -36.700500488     0.3095     0.1608    -4.3610     0.2120     4.7440     0.2380    18.2536     0.0017    18.7302     0.0261    17.5794     0.0187
139.166976929  -36.589527130     0.2570     0.0673    -4.3170     0.0870     4.6230     0.1060    16.8336     0.0007    17.2171     0.0045    16.2957     0.0031
139.078796387  -36.748477936     0.2114     0.1040    -4.3200     0.1390     4.4670     0.1550    17.7048     0.0011    18.1915     0.0130    17.1082     0.0062
139.113815308  -36.736331940     0.2414     0.0401    -4.3320     0.0540     4.5210     0.0630    15.7120     0.0004    16.0095     0.0022    15.2524     0.0018
139.103347778  -36.510784149     0.3489     0.0295    -4.4730     0.0440     4.5700     0.0500    15.2987     0.0004    15.5463     0.0022    14.8975     0.0024
139.090301514  -36.750568390     0.2782     0.0559    -4.3530     0.0750     4.5600     0.0840    16.5448     0.0006    16.9026     0.0035    16.0385     0.0027
138.910873413  -36.506870270     0.2637     0.0275    -4.3710     0.0380     4.5620     0.0430    14.9750     0.0003    15.2015     0.0013    14.6023     0.0021
138.854598999  -36.552291870     0.3574     0.0570    -4.3610     0.0810     4.7290     0.0880    16.7480     0.0007    17.1115     0.0067    16.2419     0.0040
139.184982300  -36.622097015     0.2645     0.0168    -4.6240     0.0220     4.4060     0.0280    13.4129     0.0002    13.9929     0.0013    12.6984     0.0009
138.845611572  -36.694664001     0.2434     0.0253    -4.2140     0.0320     4.6750     0.0380    14.5915     0.0003    14.8198     0.0012    14.2124     0.0014
138.893249512  -36.513057709     0.3033     0.0797    -4.5170     0.1160     4.5840     0.1160    17.2647     0.0008    17.6547     0.0085    16.7146     0.0048
138.826644897  -36.588851929     0.2838     0.0375    -4.3840     0.0500     4.4940     0.0610    15.7696     0.0005    16.0251     0.0034    15.3532     0.0026
138.906646729  -36.500537872     0.2124     0.0501    -4.3170     0.0680     4.2950     0.0750    16.3228     0.0006    16.6721     0.0043    15.8012     0.0038
139.159362793  -36.538051605     0.2857     0.0672    -4.4940     0.0880     4.4390     0.1100    16.7859     0.0007    17.1516     0.0055    16.2631     0.0045
139.093688965  -36.491729736     0.2894     0.0520    -4.4230     0.0740     4.5220     0.0770    16.2329     0.0006    16.5499     0.0042    15.7615     0.0025
139.195449829  -36.611648560     0.2827     0.0780    -4.5260     0.1000     4.7670     0.1190    17.2077     0.0008    17.6077     0.0095    16.6367     0.0045
139.182220459  -36.567970276     0.2368     0.0452    -4.5450     0.0630     4.4810     0.0760    16.2504     0.0005    16.6299     0.0034    15.7038     0.0032
139.023239136  -36.470623016     0.2684     0.0270    -4.4720     0.0350     4.5010     0.0490    12.0036     0.0002    12.7350     0.0009    11.1918     0.0006
139.185317993  -36.563209534     0.2524     0.0712    -4.4410     0.0890     4.5500     0.1080    16.8850     0.0007    17.2708     0.0055    16.3357     0.0064
139.132781982  -36.751338959     0.2423     0.0309    -4.3740     0.0430     4.6160     0.0480    15.3078     0.0004    15.5658     0.0020    14.8947     0.0017
138.815704346  -36.676368713     0.2376     0.0553    -4.3660     0.0690     4.5650     0.0840    16.4720     0.0006    16.8698     0.0050    15.9153     0.0025
138.990676880  -36.465900421     0.3134     0.0341    -4.4500     0.0450     4.5690     0.0510    15.6663     0.0006    15.9201     0.0028    15.2489     0.0026
138.900192261  -36.764968872     0.1968     0.0524    -4.4470     0.0730     4.4830     0.0800    16.3592     0.0005    16.6961     0.0049    15.8689     0.0026
139.197860718  -36.680763245     0.2888     0.0252    -4.4780     0.0320     4.3960     0.0410    14.7567     0.0003    14.9703     0.0014    14.3969     0.0014
139.030044556  -36.790027618     0.2504     0.2601    -4.2520     0.3460     4.3850     0.3650    19.0088     0.0026    19.4525     0.0362    18.3653     0.0246
139.187408447  -36.546733856     0.2786     0.0578    -4.3340     0.0850     4.5520     0.0910    16.6636     0.0006    17.0026     0.0043    16.1638     0.0037
138.881896973  -36.494182587     0.3456     0.0425    -4.4400     0.0590     4.5470     0.0620    16.1039     0.0005    16.3956     0.0031    15.6455     0.0034
139.206634521  -36.670616150     0.3082     0.1467    -4.3820     0.1950     4.3310     0.2300    18.3593     0.0016    18.9265     0.0216    17.7047     0.0107
