RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.048400879  -36.624977112     0.3266     0.0576    -4.1670     0.0810     4.5030     0.0880    16.4008     0.0007    16.7330     0.0057    15.8929     0.0048
139.034606934  -36.601577759     0.2656     0.0356    -4.3130     0.0490     4.5850     0.0570    15.7635     0.0004    16.0535     0.0028    15.3079     0.0023
139.049377441  -36.623603821     0.3625     0.0537    -4.4370     0.0700     4.3260     0.0840    16.3844     0.0006    16.6867     0.0068    15.9063     0.0047
138.963897705  -36.619171143     0.2883     0.0467    -4.3050     0.0580     4.5390     0.0690    16.0625     0.0006    16.3549     0.0035    15.6026     0.0031
138.993896484  -36.593547821     0.3031     0.0738    -4.3480     0.0950     4.6530     0.1180    17.0290     0.0008    17.3927     0.0084    16.5064     0.0054
139.049041748  -36.635272980     0.3345     0.1261    -4.2650     0.1460     4.6910     0.2280    17.8601     0.0018    18.1003     0.0336    17.1424     0.0261
139.045150757  -36.644462585     0.2916     0.1089    -4.3990     0.1420     4.7830     0.1650    17.8756     0.0013    18.3318     0.0162    17.2544     0.0072
139.040908813  -36.650588989     0.2897     0.0217    -4.4940     0.0270     4.2690     0.0350    14.2964     0.0002    14.5571     0.0011    13.8775     0.0015
139.050827026  -36.637516022     0.2744     0.0181    -4.4640     0.0220     4.5800     0.0280    13.3192     0.0002    13.7224     0.0014    12.7527     0.0010
139.014465332  -36.663784027     0.2932     0.0171    -4.4030     0.0210     4.5210     0.0260    13.3304     0.0002    13.8790     0.0010    12.6406     0.0009
139.052703857  -36.626445770     0.2946     0.0244    -4.6400     0.0320     4.4560     0.0330    14.0738     0.0003    14.2490     0.0010    13.7624     0.0011
138.997970581  -36.663852692     0.2481     0.0211    -4.4550     0.0260     4.5850     0.0330    14.1447     0.0003    14.3088     0.0011    13.8496     0.0011
139.045974731  -36.607093811     0.3362     0.0414    -4.4410     0.0550     4.5310     0.0630    16.0030     0.0005    16.2679     0.0030    15.5443     0.0031
139.016067505  -36.664104462     0.2692     0.0163    -4.4400     0.0210     4.5660     0.0250    13.1129     0.0002    13.6639     0.0008    12.4210     0.0007
139.044387817  -36.603908539     0.3096     0.0159    -4.4930     0.0210     4.4630     0.0250    13.3271     0.0002    13.8659     0.0012    12.6352     0.0016
139.047500610  -36.606922150     0.2759     0.0215    -4.4310     0.0290     4.5250     0.0340    14.3600     0.0002    14.5595     0.0013    14.0141     0.0013
139.044769287  -36.650726318     0.3109     0.0325    -4.3760     0.0420     4.5550     0.0490    15.4311     0.0004    15.6812     0.0018    15.0212     0.0015
139.051208496  -36.642288208     0.2403     0.1116    -4.2970     0.1490     4.7830     0.1690    17.9009     0.0014    18.3190     0.0200    17.2389     0.0123
139.027877808  -36.591781616     0.2677     0.0234    -4.3120     0.0310     4.6210     0.0370    14.1565     0.0007    14.2438     0.0021    13.9705     0.0030
139.047088623  -36.604145050     0.2518     0.0381    -4.4350     0.0550     4.3660     0.0610    15.9024     0.0005    16.1803     0.0026    15.4642     0.0024
139.031326294  -36.661888123     0.3382     0.0286    -4.4120     0.0370     4.4880     0.0450    15.1101     0.0003    15.3428     0.0018    14.7222     0.0017
139.030654907  -36.591850281     0.2630     0.0239    -4.5150     0.0300     4.4680     0.0410    13.5857     0.0003    13.6134     0.0019    13.4746     0.0016
138.955978394  -36.619419098     0.2591     0.0234    -4.4590     0.0290     4.5570     0.0350    14.5348     0.0003    14.7118     0.0012    14.2225     0.0016
138.987945557  -36.666103363     0.3313     0.0434    -4.4100     0.0560     4.4680     0.0650    16.0477     0.0005    16.3339     0.0032    15.6025     0.0025
139.045028687  -36.598823547     0.2526     0.0213    -4.3650     0.0280     4.6140     0.0340    14.4179     0.0003    14.5862     0.0016    14.1142     0.0017
139.056335449  -36.614765167     0.2789     0.0294    -4.4200     0.0390     4.4950     0.0480    15.3028     0.0004    15.5560     0.0031    14.8891     0.0029
139.058670044  -36.630706787     0.2923     0.0229    -4.4610     0.0280     4.5470     0.0340    14.2533     0.0003    14.4303     0.0015    13.9393     0.0013
139.047271729  -36.655601501     0.2372     0.0390    -4.4620     0.0530     4.5560     0.0630    15.7179     0.0005    15.9685     0.0039    15.2975     0.0016
139.043670654  -36.594612122     0.2660     0.0188    -4.6380     0.0240     4.4390     0.0300    14.0079     0.0002    14.2813     0.0015    13.5719     0.0009
139.060165405  -36.615459442     0.3051     0.0537    -4.5040     0.0700     4.5440     0.0850    16.5112     0.0006    16.8274     0.0059    16.0166     0.0048
138.997619629  -36.582355499     0.2426     0.0199    -4.3900     0.0250     4.6160     0.0280    13.0480     0.0003    13.5453     0.0012    12.4006     0.0006
139.059326172  -36.609886169     0.1903     0.0280    -4.2640     0.0380     4.6230     0.0490    14.8533     0.0006    14.9497     0.0080    14.5057     0.0177
139.043838501  -36.662536621     0.3294     0.0359    -4.4020     0.0480     4.6020     0.0540    15.7126     0.0004    16.0392     0.0026    15.2222     0.0022
139.015991211  -36.673839569     0.2678     0.0300    -4.4170     0.0380     4.4960     0.0460    15.1168     0.0004    15.3301     0.0022    14.7464     0.0031
139.042572021  -36.665065765     0.3264     0.0877    -4.5770     0.1120     4.6500     0.1240    17.3450     0.0009    17.7573     0.0093    16.7622     0.0095
139.019058228  -36.580219269     0.2868     0.0333    -4.4130     0.0450     4.4970     0.0550    15.5700     0.0004    15.8385     0.0026    15.1380     0.0027
139.063781738  -36.643238068     0.2480     0.0312    -4.5420     0.0400     4.4230     0.0480    15.1957     0.0004    15.4269     0.0014    14.8128     0.0014
138.946029663  -36.617187500     0.2303     0.0277    -4.3910     0.0350     4.4720     0.0400    14.8166     0.0003    14.9958     0.0022    14.5062     0.0017
138.984985352  -36.673389435     0.2945     0.0220    -4.3690     0.0280     4.6150     0.0320    14.2645     0.0002    14.5094     0.0010    13.8651     0.0008
139.064529419  -36.609409332     0.3421     0.1841    -4.1820     0.2460     4.5330     0.2910    18.6835     0.0020    19.1288     0.0372    17.9050     0.0309
138.952331543  -36.601432800     0.2519     0.0169    -4.4120     0.0220     4.5710     0.0260    13.3526     0.0002    13.5922     0.0011    12.9645     0.0008
138.999496460  -36.677230835     0.2706     0.0710    -4.4800     0.0920     4.6760     0.1010    16.8310     0.0007    17.1905     0.0038    16.3160     0.0058
139.050628662  -36.662940979     0.2170     0.0446    -4.5470     0.0580     4.5200     0.0650    16.0629     0.0006    16.3478     0.0036    15.6065     0.0038
