Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
13000.0  3.5 -1.0  9.03178e+12  2.91809  3.09510e+12  1.00021e+00  1.08054e+00 
14000.0  3.5 -1.0  1.21482e+13  2.91997  4.16039e+12  1.00064e+00  1.34418e+00 
15000.0  3.5 -1.0  1.60090e+13  2.92131  5.48009e+12  1.00046e+00  1.31721e+00 
16000.0  3.5 -1.0  2.07243e+13  2.92233  7.09171e+12  1.00035e+00  1.29409e+00 
17000.0  3.5 -1.0  2.64117e+13  2.92315  9.03534e+12  1.00028e+00  1.27407e+00 
18000.0  3.5 -1.0  3.31963e+13  2.92383  1.13537e+13  1.00023e+00  1.25659e+00 
19000.0  3.5 -1.0  4.12111e+13  2.92441  1.40921e+13  1.00020e+00  1.24119e+00 
20000.0  3.5 -1.0  5.05964e+13  2.92498  1.72980e+13  1.00019e+00  1.22750e+00 
21000.0  3.5 -1.0  6.15003e+13  2.92553  2.10219e+13  1.00019e+00  1.21528e+00 
22000.0  3.5 -1.0  7.40783e+13  2.92611  2.53163e+13  1.00020e+00  1.20428e+00 
23000.0  3.5 -1.0  8.84935e+13  2.92672  3.02364e+13  1.00021e+00  1.19435e+00 
24000.0  3.5 -1.0  1.04917e+14  2.92739  3.58397e+13  1.00023e+00  1.18532e+00 
25000.0  3.5 -1.0  1.23526e+14  2.92814  4.21860e+13  1.00026e+00  1.17707e+00 
26000.0  3.5 -1.0  1.44508e+14  2.92892  4.93385e+13  1.00027e+00  1.16955e+00 
27000.0  3.5 -1.0  1.68056e+14  2.92960  5.73650e+13  1.00023e+00  1.16268e+00 
28000.0  3.5 -1.0  1.94371e+14  2.93008  6.63365e+13  1.00016e+00  1.15639e+00 
29000.0  3.5 -1.0  2.23662e+14  2.93030  7.63273e+13  1.00008e+00  1.15061e+00 
30000.0  3.5 -1.0  2.56144e+14  2.93029  8.74127e+13  9.99997e-01  1.14523e+00 
31000.0  3.5 -1.0  2.92043e+14  2.93014  9.96686e+13  9.99949e-01  1.14021e+00 
4500.0  3.5 -2.0  1.29673e+11  2.09583  6.18720e+10  7.15266e-01  6.20777e-04 
4750.0  3.5 -2.0  1.60981e+11  2.41181  6.67469e+10  1.15077e+00  1.07879e+00 
5000.0  3.5 -2.0  1.97642e+11  2.60598  7.58419e+10  1.08051e+00  1.13626e+00 
5250.0  3.5 -2.0  2.40236e+11  2.71514  8.84800e+10  1.04189e+00  1.16664e+00 
5500.0  3.5 -2.0  2.89368e+11  2.77405  1.04313e+11  1.02170e+00  1.17894e+00 
5750.0  3.5 -2.0  3.45678e+11  2.80672  1.23161e+11  1.01178e+00  1.18069e+00 
6000.0  3.5 -2.0  4.09831e+11  2.82679  1.44981e+11  1.00715e+00  1.17717e+00 
6250.0  3.5 -2.0  4.82525e+11  2.84005  1.69900e+11  1.00469e+00  1.17188e+00 
6500.0  3.5 -2.0  5.64486e+11  2.84955  1.98097e+11  1.00335e+00  1.16596e+00 
6750.0  3.5 -2.0  6.56470e+11  2.85679  2.29793e+11  1.00254e+00  1.16000e+00 
7000.0  3.5 -2.0  7.59263e+11  2.86261  2.65234e+11  1.00204e+00  1.15423e+00 
7250.0  3.5 -2.0  8.73679e+11  2.86756  3.04677e+11  1.00173e+00  1.14871e+00 
7500.0  3.5 -2.0  1.00056e+12  2.87186  3.48403e+11  1.00150e+00  1.14352e+00 
