Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
43000.0  5.0  0.5  3.41880e+13  2.93345  1.16545e+13  9.99918e-01  3.16254e-01 
44000.0  4.5 -1.0  1.18525e+14  2.93187  4.04265e+13  9.99461e-01  3.46873e+00 
44000.0  5.0 -1.0  3.74810e+13  2.93160  1.27852e+13  9.99908e-01  3.16257e-01 
44000.0  4.5 -2.0  1.18525e+14  2.93170  4.04288e+13  1.00003e+00  3.16217e+00 
44000.0  5.0 -2.0  3.74810e+13  2.93145  1.27858e+13  9.99915e-01  3.16255e-01 
44000.0  4.5  0.0  1.18525e+14  2.93264  4.04159e+13  1.00041e+00  3.16099e+00 
44000.0  5.0  0.0  3.74810e+13  2.93230  1.27821e+13  9.99884e-01  3.16264e-01 
44000.0  4.5  0.5  1.18525e+14  2.93379  4.04000e+13  1.00051e+00  3.16067e+00 
44000.0  5.0  0.5  3.74810e+13  2.93349  1.27769e+13  9.99898e-01  3.16260e-01 
45000.0  4.5 -1.0  1.29673e+14  2.93203  4.42264e+13  9.99502e-01  3.46143e+00 
45000.0  5.0 -1.0  4.10062e+13  2.93169  1.39872e+13  9.99884e-01  3.16264e-01 
45000.0  4.5 -2.0  1.29673e+14  2.93185  4.42291e+13  1.00005e+00  3.16211e+00 
45000.0  5.0 -2.0  4.10062e+13  2.93155  1.39879e+13  9.99898e-01  3.16260e-01 
45000.0  4.5  0.0  1.29673e+14  2.93280  4.42148e+13  1.00043e+00  3.16093e+00 
45000.0  5.0  0.0  4.10062e+13  2.93240  1.39839e+13  9.99864e-01  3.16271e-01 
45000.0  4.5  0.5  1.29673e+14  2.93392  4.41979e+13  1.00052e+00  3.16064e+00 
45000.0  5.0  0.5  4.10062e+13  2.93357  1.39783e+13  9.99881e-01  3.16265e-01 
46000.0  4.5 -1.0  1.41590e+14  2.93220  4.82878e+13  9.99533e-01  3.45449e+00 
46000.0  5.0 -1.0  4.47746e+13  2.93181  1.52720e+13  9.99867e-01  3.16270e-01 
46000.0  4.5 -2.0  1.41590e+14  2.93202  4.82908e+13  1.00007e+00  3.16205e+00 
46000.0  5.0 -2.0  4.47746e+13  2.93166  1.52728e+13  9.99877e-01  3.16267e-01 
46000.0  4.5  0.0  1.41590e+14  2.93297  4.82752e+13  1.00045e+00  3.16087e+00 
46000.0  5.0  0.0  4.47746e+13  2.93253  1.52682e+13  9.99850e-01  3.16275e-01 
46000.0  4.5  0.5  1.41590e+14  2.93406  4.82572e+13  1.00052e+00  3.16063e+00 
46000.0  5.0  0.5  4.47746e+13  2.93366  1.52624e+13  9.99864e-01  3.16271e-01 
47000.0  4.5 -1.0  1.54309e+14  2.93240  5.26221e+13  9.99571e-01  3.44784e+00 
47000.0  5.0 -1.0  4.87968e+13  2.93195  1.66431e+13  9.99847e-01  3.16276e-01 
47000.0  4.5 -2.0  1.54309e+14  2.93217  5.26262e+13  1.00008e+00  3.16204e+00 
47000.0  5.0 -2.0  4.87968e+13  2.93178  1.66441e+13  9.99867e-01  3.16270e-01 
47000.0  4.5  0.0  1.54309e+14  2.93316  5.26085e+13  1.00047e+00  3.16079e+00 
47000.0  5.0  0.0  4.87968e+13  2.93266  1.66391e+13  9.99830e-01  3.16282e-01 
47000.0  4.5  0.5  1.54309e+14  2.93423  5.25893e+13  1.00054e+00  3.16059e+00 
47000.0  5.0  0.5  4.87968e+13  2.93377  1.66328e+13  9.99843e-01  3.16277e-01 
48000.0  4.5 -1.0  1.67867e+14  2.93257  5.72422e+13  9.99591e-01  3.44153e+00 
48000.0  5.0 -1.0  5.30842e+13  2.93210  1.81045e+13  9.99840e-01  3.16278e-01 
48000.0  4.5 -2.0  1.67867e+14  2.93234  5.72467e+13  1.00008e+00  3.16202e+00 
48000.0  5.0 -2.0  5.30842e+13  2.93191  1.81057e+13  9.99853e-01  3.16274e-01 
48000.0  4.5  0.0  1.67867e+14  2.93335  5.72270e+13  1.00049e+00  3.16073e+00 
48000.0  5.0  0.0  5.30842e+13  2.93281  1.81001e+13  9.99816e-01  3.16286e-01 
48000.0  4.5  0.5  1.67867e+14  2.93442  5.72061e+13  1.00055e+00  3.16054e+00 
48000.0  5.0  0.5  5.30842e+13  2.93390  1.80934e+13  9.99823e-01  3.16284e-01 
49000.0  4.5 -1.0  1.82299e+14  2.93275  6.21598e+13  9.99608e-01  3.43550e+00 
49000.0  5.0 -1.0  5.76480e+13  2.93225  1.96600e+13  9.99830e-01  3.16282e-01 
49000.0  4.5 -2.0  1.82299e+14  2.93251  6.21648e+13  1.00009e+00  3.16200e+00 
49000.0  5.0 -2.0  5.76480e+13  2.93205  1.96613e+13  9.99843e-01  3.16277e-01 
49000.0  4.5  0.0  1.82299e+14  2.93354  6.21430e+13  1.00051e+00  3.16067e+00 
49000.0  5.0  0.0  5.76480e+13  2.93298  1.96551e+13  9.99809e-01  3.16288e-01 
49000.0  4.5  0.5  1.82299e+14  2.93461  6.21204e+13  1.00056e+00  3.16052e+00 
49000.0  5.0  0.5  5.76480e+13  2.93405  1.96479e+13  9.99809e-01  3.16288e-01 
50000.0  5.0 -1.0  6.25000e+13  2.93241  2.13135e+13  9.99441e-01  1.08477e+00 
50000.0  5.0 -2.0  6.25000e+13  2.93219  2.13151e+13  9.99925e-01  1.00008e+00 
50000.0  5.0  0.0  6.25000e+13  2.93315  2.13081e+13  1.00033e+00  9.99673e-01 
50000.0  5.0  0.5  6.25000e+13  2.93422  2.13004e+13  1.00036e+00  9.99635e-01 
