#NMD        LOG(T)            dT            tHe3            t_smr      LOG(L/LSUN)    LOG(TE)    LOG(R/RSUN)    LOG(GI)        MCC       LOG(RHOc)     LOG(Tc)        Mec       LOG(ROec)     LOG(Tec)       H            He3          He4          C12          N14          O16          D            Li7          Be7          C13          N15          O17 
  13   0.3083031D+01   0.1000000D+02   0.1339921D+48   0.0000000D+00  0.16435E+01  0.36625E+01  0.10200E+01  0.00000E+00  0.10000E+01 -0.20597E+01  0.58896E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  14   0.3086603D+01   0.1000000D+02   0.1319454D+48   0.0000000D+00  0.16381E+01  0.36612E+01  0.10199E+01  0.00000E+00  0.10000E+01 -0.20592E+01  0.58898E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  15   0.3090147D+01   0.1000000D+02   0.1299555D+48   0.0000000D+00  0.16369E+01  0.36610E+01  0.10198E+01  0.00000E+00  0.10000E+01 -0.20588E+01  0.58899E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  16   0.3093661D+01   0.1000000D+02   0.1280021D+48   0.0000000D+00  0.16361E+01  0.36608E+01  0.10196E+01  0.00000E+00  0.10000E+01 -0.20584E+01  0.58900E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  17   0.3097148D+01   0.1000000D+02   0.1260823D+48   0.0000000D+00  0.16346E+01  0.36606E+01  0.10195E+01  0.00000E+00  0.10000E+01 -0.20580E+01  0.58902E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  18   0.3100606D+01   0.1000000D+02   0.1241982D+48   0.0000000D+00  0.16322E+01  0.36600E+01  0.10193E+01  0.00000E+00  0.10000E+01 -0.20576E+01  0.58903E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  19   0.3104038D+01   0.1000000D+02   0.1223533D+48   0.0000000D+00  0.16288E+01  0.36592E+01  0.10192E+01  0.00000E+00  0.10000E+01 -0.20572E+01  0.58904E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  20   0.3107442D+01   0.1000000D+02   0.1205510D+48   0.0000000D+00  0.16243E+01  0.36582E+01  0.10190E+01  0.00000E+00  0.10000E+01 -0.20568E+01  0.58906E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  21   0.3110820D+01   0.1000000D+02   0.1187940D+48   0.0000000D+00  0.16189E+01  0.36569E+01  0.10189E+01  0.00000E+00  0.10000E+01 -0.20564E+01  0.58907E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  22   0.3114172D+01   0.1000000D+02   0.1170847D+48   0.0000000D+00  0.16126E+01  0.36554E+01  0.10187E+01  0.00000E+00  0.10000E+01 -0.20560E+01  0.58908E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.71328E+00  0.23000E-04  0.26947E+00  0.31000E-02  0.82816E-03  0.75141E-02  0.39000E-04  0.26000E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
