   AGE            L/Lsun         Fpp            Fdp       Fhe3HE3         Fhe3he4          Fbe           Fli7p           Fbe7p         Ftotpp
   3.1585687160  0.1510363E+01  0.5001925E-11  0.1330438E+02  0.4636373E-37  0.2266020E-42  0.0000000E+00  0.7795376E-20  0.0000000E+00  0.1064351E+03
   3.1615728042  0.1508268E+01  0.5019373E-11  0.1335470E+02  0.4688037E-37  0.2292709E-42  0.0000000E+00  0.7856662E-20  0.0000000E+00  0.1068376E+03
   3.1645562553  0.1507031E+01  0.5036827E-11  0.1340504E+02  0.4740112E-37  0.2319626E-42  0.0000000E+00  0.7918234E-20  0.0000000E+00  0.1072403E+03
   3.1675193509  0.1506462E+01  0.5054313E-11  0.1345549E+02  0.4792680E-37  0.2346815E-42  0.0000000E+00  0.7980187E-20  0.0000000E+00  0.1076439E+03
   3.1704623669  0.1506415E+01  0.5071853E-11  0.1350611E+02  0.4845808E-37  0.2374311E-42  0.0000000E+00  0.8042599E-20  0.0000000E+00  0.1080489E+03
   3.1733855736  0.1506783E+01  0.5089463E-11  0.1355695E+02  0.4899554E-37  0.2402144E-42  0.0000000E+00  0.8105533E-20  0.0000000E+00  0.1084556E+03
   3.1762892358  0.1507474E+01  0.5107157E-11  0.1360804E+02  0.4953966E-37  0.2430340E-42  0.0000000E+00  0.8169042E-20  0.0000000E+00  0.1088644E+03
   3.1791736133  0.1508391E+01  0.5124944E-11  0.1365943E+02  0.5009082E-37  0.2458919E-42  0.0000000E+00  0.8233164E-20  0.0000000E+00  0.1092754E+03
   3.1820389604  0.1509476E+01  0.5142833E-11  0.1371111E+02  0.5064935E-37  0.2487898E-42  0.0000000E+00  0.8297931E-20  0.0000000E+00  0.1096889E+03
   3.1848855266  0.1510628E+01  0.5160827E-11  0.1376312E+02  0.5121543E-37  0.2517287E-42  0.0000000E+00  0.8363363E-20  0.0000000E+00  0.1101050E+03
   3.1877135565  0.1511798E+01  0.5178927E-11  0.1381545E+02  0.5178922E-37  0.2547095E-42  0.0000000E+00  0.8429468E-20  0.0000000E+00  0.1105236E+03
   3.1905232900  0.1512977E+01  0.5197135E-11  0.1386811E+02  0.5237084E-37  0.2577329E-42  0.0000000E+00  0.8496257E-20  0.0000000E+00  0.1109449E+03
   3.1933149623  0.1514158E+01  0.5215451E-11  0.1392109E+02  0.5296042E-37  0.2607996E-42  0.0000000E+00  0.8563738E-20  0.0000000E+00  0.1113687E+03
   3.1960888041  0.1515349E+01  0.5233877E-11  0.1397441E+02  0.5355809E-37  0.2639104E-42  0.0000000E+00  0.8631922E-20  0.0000000E+00  0.1117953E+03
   3.1988450418  0.1516553E+01  0.5252413E-11  0.1402806E+02  0.5416401E-37  0.2670661E-42  0.0000000E+00  0.8700818E-20  0.0000000E+00  0.1122245E+03
   3.2015838973  0.1517808E+01  0.5271063E-11  0.1408206E+02  0.5477837E-37  0.2702678E-42  0.0000000E+00  0.8770444E-20  0.0000000E+00  0.1126565E+03
   3.2043055885  0.1519177E+01  0.5289833E-11  0.1413642E+02  0.5540147E-37  0.2735172E-42  0.0000000E+00  0.8840828E-20  0.0000000E+00  0.1130914E+03
   3.2070103293  0.1520701E+01  0.5308731E-11  0.1419117E+02  0.5603369E-37  0.2768162E-42  0.0000000E+00  0.8912005E-20  0.0000000E+00  0.1135294E+03
   3.2096983295  0.1522393E+01  0.5327764E-11  0.1424633E+02  0.5667544E-37  0.2801671E-42  0.0000000E+00  0.8984014E-20  0.0000000E+00  0.1139706E+03
   3.2123697949  0.1524277E+01  0.5346942E-11  0.1430192E+02  0.5732716E-37  0.2835723E-42  0.0000000E+00  0.9056898E-20  0.0000000E+00  0.1144154E+03
   3.2132566441  0.1524221E+01  0.5353344E-11  0.1432049E+02  0.5754584E-37  0.2847154E-42  0.0000000E+00  0.9081300E-20  0.0000000E+00  0.1145639E+03
   3.2145835315  0.1524128E+01  0.5362960E-11  0.1434837E+02  0.5787538E-37  0.2864384E-42  0.0000000E+00  0.9118019E-20  0.0000000E+00  0.1147870E+03
   3.2165662921  0.1523989E+01  0.5377412E-11  0.1439028E+02  0.5837308E-37  0.2890418E-42  0.0000000E+00  0.9173361E-20  0.0000000E+00  0.1151223E+03
   3.2195235627  0.1523779E+01  0.5399154E-11  0.1445336E+02  0.5912736E-37  0.2929896E-42  0.0000000E+00  0.9256970E-20  0.0000000E+00  0.1156269E+03
   3.2239220509  0.1523464E+01  0.5431913E-11  0.1454844E+02  0.6027638E-37  0.2990088E-42  0.0000000E+00  0.9383736E-20  0.0000000E+00  0.1163875E+03
   3.2304373682  0.1522991E+01  0.5481378E-11  0.1469209E+02  0.6204023E-37  0.3082616E-42  0.0000000E+00  0.9576967E-20  0.0000000E+00  0.1175368E+03
   3.2400306624  0.1522275E+01  0.5556317E-11  0.1490994E+02  0.6477930E-37  0.3226597E-42  0.0000000E+00  0.9873874E-20  0.0000000E+00  0.1192795E+03
   3.2540346082  0.1521217E+01  0.5670416E-11  0.1524209E+02  0.6910697E-37  0.3454781E-42  0.0000000E+00  0.1033560E-19  0.0000000E+00  0.1219367E+03
   3.2742286102  0.1519635E+01  0.5845429E-11  0.1575265E+02  0.7612355E-37  0.3826450E-42  0.0000000E+00  0.1106663E-19  0.0000000E+00  0.1260212E+03
   3.3028612128  0.1517267E+01  0.6116853E-11  0.1654698E+02  0.8794689E-37  0.4457064E-42  0.0000000E+00  0.1225541E-19  0.0000000E+00  0.1323758E+03
   3.3350680932  0.1514428E+01  0.6458197E-11  0.1755012E+02  0.1045267E-36  0.5349398E-42  0.0000000E+00  0.1384644E-19  0.0000000E+00  0.1404010E+03
   3.3652390597  0.1511604E+01  0.6816808E-11  0.1860878E+02  0.1241258E-36  0.6414591E-42  0.0000000E+00  0.1563460E-19  0.0000000E+00  0.1488703E+03
   3.3937624745  0.1508770E+01  0.7195388E-11  0.1973146E+02  0.1473999E-36  0.7691906E-42  0.0000000E+00  0.1765376E-19  0.0000000E+00  0.1578517E+03
   3.4207403483  0.1505945E+01  0.7593718E-11  0.2091804E+02  0.1749402E-36  0.9218150E-42  0.0000000E+00  0.1992587E-19  0.0000000E+00  0.1673443E+03
   3.4464204610  0.1503115E+01  0.8014129E-11  0.2217605E+02  0.2076236E-36  0.1104711E-41  0.0000000E+00  0.2249030E-19  0.0000000E+00  0.1774084E+03
   3.4708908052  0.1500282E+01  0.8456992E-11  0.2350722E+02  0.2463307E-36  0.1323431E-41  0.0000000E+00  0.2537884E-19  0.0000000E+00  0.1880577E+03
   3.4942519067  0.1497461E+01  0.8923085E-11  0.2491450E+02  0.2921177E-36  0.1584676E-41  0.0000000E+00  0.2862901E-19  0.0000000E+00  0.1993160E+03
   3.5166989920  0.1494625E+01  0.9415667E-11  0.2640845E+02  0.3465005E-36  0.1897988E-41  0.0000000E+00  0.3230114E-19  0.0000000E+00  0.2112676E+03
   3.5381988104  0.1491828E+01  0.9933441E-11  0.2798585E+02  0.4107348E-36  0.2271656E-41  0.0000000E+00  0.3642727E-19  0.0000000E+00  0.2238868E+03
   3.5591104857  0.1488999E+01  0.1048531E-10  0.2967468E+02  0.4876950E-36  0.2723724E-41  0.0000000E+00  0.4112940E-19  0.0000000E+00  0.2373974E+03
   3.5792557112  0.1486169E+01  0.1106700E-10  0.3146283E+02  0.5789228E-36  0.3264853E-41  0.0000000E+00  0.4642997E-19  0.0000000E+00  0.2517026E+03
   3.5986878704  0.1483341E+01  0.1167984E-10  0.3335520E+02  0.6869874E-36  0.3912125E-41  0.0000000E+00  0.5240152E-19  0.0000000E+00  0.2668416E+03
