Date            Number of Sunspots
1900.044	9
1900.123	13
1900.205	8
1900.287	16
1900.372	15
1900.454	12
1900.539	8
1900.624	4
1900.706	8
1900.791	12
1900.873	4
1900.958	0
1901.043	0
1901.123	2
1901.205	4
1901.287	0
1901.372	10
1901.454	5
1901.539	0
1901.624	1
1901.706	0
1901.791	3
1901.873	3
1901.958	0
1902.042	5
1902.122	0
1902.204	12
1902.286	0
1902.371	2
1902.453	1
1902.538	0
1902.623	2
1902.705	7
1902.79	16
1902.872	10
1902.957	1
1903.042	8
1903.121	17
1903.203	13
1903.285	26
1903.37	14
1903.452	16
1903.537	27
1903.622	28
1903.704	11
1903.789	38
1903.871	44
1903.956	45
1904.041	31
1904.123	24
1904.205	37
1904.287	43
1904.372	39
1904.454	41
1904.539	50
1904.624	58
1904.706	30
1904.791	54
1904.873	38
1904.958	54
1905.043	54
1905.123	85
1905.205	56
1905.287	39
1905.372	48
1905.454	49
1905.539	73
1905.624	58
1905.706	55
1905.791	78
1905.873	107
1905.958	55
1906.042	45
1906.122	31
1906.204	64
1906.286	55
1906.371	57
1906.453	63
1906.538	103
1906.623	47
1906.705	56
1906.79	17
1906.872	38
1906.957	64
1907.042	76
1907.121	108
1907.203	60
1907.285	52
1907.37	42
1907.452	40
1907.537	49
1907.622	54
1907.704	85
1907.789	65
1907.871	61
1907.956	47
1908.041	39
1908.123	33
1908.205	28
1908.287	57
1908.372	40
1908.454	48
1908.539	39
1908.624	90
1908.706	86
1908.791	32
1908.873	45
1908.958	39
1909.043	56
1909.123	46
1909.205	66
1909.287	32
1909.372	36
1909.454	22
1909.539	35
1909.624	23
1909.706	38
1909.791	58
1909.873	55
1909.958	54
1910.042	26
1910.122	31
1910.204	21
1910.286	8
1910.371	22
1910.453	12
1910.538	14
1910.623	11
1910.705	26
1910.79	38
1910.872	4
1910.957	5
1911.042	3
1911.121	9
1911.203	7
1911.285	16
1911.37	9
1911.452	2
1911.537	3
1911.622	4
1911.704	4
1911.789	2
1911.871	4
1911.956	2
1912.041	0
1912.123	0
1912.205	4
1912.287	4
1912.372	4
1912.454	4
1912.539	3
1912.624	0
1912.706	9
1912.791	4
1912.873	1
1912.958	6
1913.043	2
1913.123	2
1913.205	0
1913.287	0
1913.372	0
1913.454	0
1913.539	1
1913.624	0
1913.706	1
1913.791	3
1913.873	0
1913.958	3
1914.042	2
1914.122	2
1914.204	3
1914.286	17
1914.371	5
